"MODEL","magnitude","networkvalue","modelmean","quantile","distance"
"RND","spect_rad",6.11771929873753,4.518490036362,100,1.59922926237552
"RND","adj_energy",55.9947479967294,67.0918798062064,0,-11.097131809477
"RND","lpl_spect_rad",22.1814769037916,11.063803039702,100,11.1176738640896
"RND","lpl_energy",140.929085075231,117.884583271219,100,23.0445018040118
"RND","spect_rad_weighted",487.078583290957,4.518490036362,100,482.560093254595
"RND","adj_weighted_energy",477344,170,100,477174
"RND","lpl_weighted_energy",1334890,961.8,100,1333928.2
"MGEN","spect_rad",6.11771929873753,7.93296593277787,0,-1.81524663404034
"MGEN","adj_energy",55.9947479967294,59.228653881955,13.3333333333333,-3.23390588522564
"MGEN","lpl_spect_rad",22.1814769037916,35.2931207563004,0,-13.1116438525088
"MGEN","lpl_energy",140.929085075231,164.167909284975,0,-23.2388242097444
"MGEN","spect_rad_weighted",487.078583290957,400.662508892617,100,86.4160743983402
"MGEN","adj_weighted_energy",477344,321548.8,100,155795.2
"MGEN","lpl_weighted_energy",1334890,1144823.26666667,100,190066.733333333
"SHUFFLE","spect_rad",6.11771929873753,4.27189086558223,100,1.84582843315529
"SHUFFLE","adj_energy",55.9947479967294,68.2100867945659,0,-12.2153387978365
"SHUFFLE","lpl_spect_rad",22.1814769037916,10.6365965570695,100,11.544880346722
"SHUFFLE","lpl_energy",140.929085075231,112.494020385594,100,28.4350646896365
"SHUFFLE","spect_rad_weighted",487.078583290957,471.34399459752,100,15.7345886934364
"SHUFFLE","adj_weighted_energy",477344,477344,30,-2.3283064365387e-10
"SHUFFLE","lpl_weighted_energy",1334890,1021127.66666667,100,313762.333333333
"VAZ","spect_rad",6.11771929873753,6.84549674960291,0,-0.727777450865384
"VAZ","adj_energy",55.9947479967294,50.3032251618195,100,5.69152283490995
"VAZ","lpl_spect_rad",22.1814769037916,33.6443128085793,0,-11.4628359047877
"VAZ","lpl_energy",140.929085075231,149.5194965905,0,-8.59041151526964
"VAZ","spect_rad_weighted",487.078583290957,408.851399748301,100,78.2271835426558
"VAZ","adj_weighted_energy",477344,334994.666666667,100,142349.333333333
"VAZ","lpl_weighted_energy",1334890,1195907.86666667,100,138982.133333334
"SYTR","spect_rad",6.11771929873753,6.93532624189171,0,-0.817606943154182
"SYTR","adj_energy",55.9947479967294,50.9048398538045,100,5.08990814292493
"SYTR","lpl_spect_rad",22.1814769037916,23.2790275208484,36.6666666666667,-1.09755061705682
"SYTR","lpl_energy",140.929085075231,158.838510168085,0,-17.9094250928548
"SYTR","spect_rad_weighted",487.078583290957,29.3783857125959,100,457.700197578361
"SYTR","adj_weighted_energy",477344,2156.86666666667,100,475187.133333333
"SYTR","lpl_weighted_energy",1334890,15684.2,100,1319205.8
"SWAP","spect_rad",6.11771929873753,6.5442350174625,0,-0.426515718724971
"SWAP","adj_energy",55.9947479967294,52.5822943320028,93.3333333333333,3.41245366472665
"SWAP","lpl_spect_rad",22.1814769037916,31.1539320400696,0,-8.972455136278
"SWAP","lpl_energy",140.929085075231,149.951882043097,0,-9.02279696786664
"SWAP","spect_rad_weighted",487.078583290957,425.250206533872,100,61.8283767570843
"SWAP","adj_weighted_energy",477344,363448.4,100,113895.6
"SWAP","lpl_weighted_energy",1334890,1220994.4,100,113895.6
"WRND","spect_rad",6.11771929873753,4.55911481673919,100,1.55860448199834
"WRND","adj_energy",55.9947479967294,66.9963346952913,0,-11.0015866985619
"WRND","lpl_spect_rad",22.1814769037916,11.3635852611363,100,10.8178916426553
"WRND","lpl_energy",140.929085075231,117.790874058557,100,23.1382110166735
"WRND","spect_rad_weighted",487.078583290957,54.0373070109148,100,433.041276280042
"WRND","adj_weighted_energy",477344,24382.4,100,452961.6
"WRND","lpl_weighted_energy",1334890,131127.2,100,1203762.8
"BVAZ","spect_rad",6.11771929873753,5.48958358117341,100,0.628135717564112
"BVAZ","adj_energy",55.9947479967294,62.3727932801477,0,-6.37804528341828
"BVAZ","lpl_spect_rad",22.1814769037916,18.4657989105629,93.3333333333333,3.7156779932287
"BVAZ","lpl_energy",140.929085075231,129.037300156196,100,11.8917849190345
"BVAZ","spect_rad_weighted",487.078583290957,5.48958358117341,100,481.588999709783
"BVAZ","adj_weighted_energy",477344,170,100,477174
"BVAZ","lpl_weighted_energy",1334890,1235.86666666667,100,1333654.13333333
"BSHUFFLE","spect_rad",6.11771929873753,6.0924488913339,56.6666666666667,0.0252704074036227
"BSHUFFLE","adj_energy",55.9947479967294,58.2588611205399,0,-2.2641131238105
"BSHUFFLE","lpl_spect_rad",22.1814769037916,22.1848708320444,43.3333333333333,-0.00339392825282303
"BSHUFFLE","lpl_energy",140.929085075231,140.972774238316,40,-0.0436891630851903
"BSHUFFLE","spect_rad_weighted",487.078583290957,6.0924488913339,100,480.986134399623
"BSHUFFLE","adj_weighted_energy",477344,170,100,477174
"BSHUFFLE","lpl_weighted_energy",1334890,1448,100,1333442
"PATEFIELD","spect_rad",6.11771929873753,7.65385705065342,0,-1.53613775191589
"PATEFIELD","adj_energy",55.9947479967294,57.320150529792,26.6666666666667,-1.32540253306257
"PATEFIELD","lpl_spect_rad",22.1814769037916,34.3178911398226,0,-12.136414236031
"PATEFIELD","lpl_energy",140.929085075231,161.23275863432,0,-20.303673559089
"PATEFIELD","spect_rad_weighted",487.078583290957,420.406605571348,100,66.6719777196083
"PATEFIELD","adj_weighted_energy",477344,353827.466666667,100,123516.533333333
"PATEFIELD","lpl_weighted_energy",1334890,1211373.46666667,100,123516.533333333
